scenario_id,method,n,p,contamination_type,contamination_rate,contamination_strength,true_ate,n_mc,bias,mse,var,rmse,mae,coverage,n_valid,elapsed_sec,mcse_bias,mcse_mse,mcse_rmse
13,adaptive,200,10,covariate,0.0,3,2,2000,0.0099647592311624,0.0293344671035132,0.0292497955747655,0.171273077579383,0.136229451567395,0.948,2000,311.334192991257,0.003824251271475601,0.0009280944679936846,0.0027093997524611653
14,naive,500,10,covariate,0.0,3,2,2000,0.0080542948773247,0.0119072476779347,0.0118483001620448,0.109120335767146,0.0863928226264989,0.945,2000,723.577311992645,0.002433957699102924,0.00037672198591372533,0.0017261768086822042
14,ipw_robust,500,10,covariate,0.0,3,2,2000,-0.014608165684068,0.0123669669538129,0.0121596482732963,0.111206865587575,0.0881717163345529,0.945,2000,723.577311992645,0.0024657299399261368,0.00039121189609665226,0.0017589376970101468
14,dr_robust,500,10,covariate,0.0,3,2,2000,0.0036528949045298,0.0116718694180861,0.0116643579558805,0.108036426348182,0.0857116835510232,0.9495,2000,723.577311992645,0.002414990471604443,0.00036928110774491564,0.00170905832517446
14,aipw_robust,500,10,covariate,0.0,3,2,2000,0.0007351702667044,0.0163401099284362,0.0163477433247776,0.127828439435191,0.101656771897889,0.9495,2000,723.577311992645,0.0028589983669790368,0.0005169781261489254,0.0020221561353372898
14,reg_adj,500,10,covariate,0.0,3,2,2000,0.0085083728635648,0.0112712868979092,0.0112044967374925,0.106166317153367,0.0846648622935431,0.9485,2000,723.577311992645,0.0023669069201694964,0.0003565991981995916,0.0016794366036284904
14,adaptive,500,10,covariate,0.0,3,2,2000,0.0085083728635648,0.0112712868979092,0.0112044967374925,0.106166317153367,0.0846648622935431,0.9485,2000,723.577311992645,0.0023669069201694964,0.0003565991981995916,0.0016794366036284904
15,naive,1000,10,covariate,0.0,3,2,2000,0.0092046172956314,0.0059576425136469,0.0058758554618187,0.0771857662632619,0.0616707172814241,0.945,2000,1281.85231280327,0.0017140384274891127,0.00018847106111011722,0.0012208925960991836
15,ipw_robust,1000,10,covariate,0.0,3,2,2000,-0.014019732135897,0.006187584099324,0.0059940282242738,0.0786611981813398,0.0627596639502173,0.939,2000,1281.85231280327,0.0017311886414070824,0.00019566466590520054,0.0012437178076929966
15,dr_robust,1000,10,covariate,0.0,3,2,2000,0.0043538925725092,0.0057177123624264,0.0057016067852861,0.0756155563520261,0.0603368248774961,0.946,2000,1281.85231280327,0.001688432229212369,0.0001808990978135678,0.0011961764651403021
15,aipw_robust,1000,10,covariate,0.0,3,2,2000,-0.0029432727710596,0.007895709904685,0.0078909925463533,0.0888578072241546,0.0712051579891301,0.9535,2000,1281.85231280327,0.001986327332837327,0.0002498088877699061,0.0014056665113270964
15,reg_adj,1000,10,covariate,0.0,3,2,2000,0.0084374544501244,0.0055164642872515,0.0054479976484778,0.0742729041256068,0.0596557146022205,0.948,2000,1281.85231280327,0.0016504541266690509,0.00017451753846039054,0.0011748398727297292
15,adaptive,1000,10,covariate,0.0,3,2,2000,0.0084374544501244,0.0055164642872515,0.0054479976484778,0.0742729041256068,0.0596557146022205,0.948,2000,1281.85231280327,0.0016504541266690509,0.00017451753846039054,0.0011748398727297292
16,naive,200,20,covariate,0.0,3,2,2000,0.0106700021648232,0.038118682708642,0.0380238456852873,0.195240064301982,0.153664518148116,0.947,2000,727.626489877701,0.004360266372900129,0.0012060144237204717,0.003088542374825034
16,ipw_robust,200,20,covariate,0.0,3,2,2000,-0.0147792811436576,0.0369008104026373,0.0367007336183232,0.192095836505212,0.152019410515977,0.9455,2000,727.626489877701,0.004283732812531799,0.0011674659401883583,0.0030387590939709988
16,dr_robust,200,20,covariate,0.0,3,2,2000,0.0047424428799005,0.0356854502651652,0.0356807999006464,0.188905929671795,0.148444154454578,0.949,2000,727.626489877701,0.004223789761614941,0.0011290369606364703,0.002988357651340162
16,aipw_robust,200,20,covariate,0.0,3,2,2000,0.0025705401723681,0.0452138452457391,0.045229852495209,0.212635475040594,0.169567669953131,0.9525,2000,727.626489877701,0.004755515350369979,0.0014305024590088448,0.0033637436526895363
